Epoch =  96, Iter= 159, Average Epoch Loss= 0.3023379951
Epoch =  97, Iter= 159, Average Epoch Loss= 0.2840637184
Epoch =  98, Iter= 159, Average Epoch Loss= 0.2671394521
Epoch =  99, Iter= 159, Average Epoch Loss= 0.2514458910
Epoch = 100, Iter= 159, Average Epoch Loss= 0.2368863957
Epoch = 101, Iter= 159, Average Epoch Loss= 0.2233747996
Epoch = 102, Iter= 159, Average Epoch Loss= 0.2108466877
Epoch = 103, Iter= 159, Average Epoch Loss= 0.1992122323
Epoch = 104, Iter= 159, Average Epoch Loss= 0.1884062137
Epoch = 105, Iter= 159, Average Epoch Loss= 0.1783773356
Epoch = 106, Iter= 159, Average Epoch Loss= 0.1690491555
Epoch = 107, Iter= 159, Average Epoch Loss= 0.1603779268
Epoch = 108, Iter= 159, Average Epoch Loss= 0.1523101006
Epoch = 109, Iter= 159, Average Epoch Loss= 0.1447998680
Epoch = 110, Iter= 159, Average Epoch Loss= 0.1378188942
Epoch = 111, Iter= 159, Average Epoch Loss= 0.1313166683
Epoch = 112, Iter= 159, Average Epoch Loss= 0.1252570033
Epoch = 113, Iter= 159, Average Epoch Loss= 0.1196158682
Epoch = 114, Iter= 159, Average Epoch Loss= 0.1143529924
Epoch = 115, Iter= 159, Average Epoch Loss= 0.1094519003
Epoch = 116, Iter= 159, Average Epoch Loss= 0.1048792621
Epoch = 117, Iter= 159, Average Epoch Loss= 0.1006092323
Epoch = 118, Iter= 159, Average Epoch Loss= 0.0966278467
Epoch = 119, Iter= 159, Average Epoch Loss= 0.0929112346
Epoch = 120, Iter= 159, Average Epoch Loss= 0.0894458704
Epoch = 121, Iter= 159, Average Epoch Loss= 0.0862074333
Epoch = 122, Iter= 159, Average Epoch Loss= 0.0831696945
Epoch = 123, Iter= 159, Average Epoch Loss= 0.0803403571
Epoch = 124, Iter= 159, Average Epoch Loss= 0.0776970735
Epoch = 125, Iter= 159, Average Epoch Loss= 0.0752247134
Epoch = 126, Iter= 159, Average Epoch Loss= 0.0729120815
Epoch = 127, Iter= 159, Average Epoch Loss= 0.0707448016
Epoch = 128, Iter= 159, Average Epoch Loss= 0.0687130586
Epoch = 129, Iter= 159, Average Epoch Loss= 0.0668201101
Epoch = 130, Iter= 159, Average Epoch Loss= 0.0650415786
Epoch = 131, Iter= 159, Average Epoch Loss= 0.0633719991
Epoch = 132, Iter= 159, Average Epoch Loss= 0.0618112138
Epoch = 133, Iter= 159, Average Epoch Loss= 0.0603514105
Epoch = 134, Iter= 159, Average Epoch Loss= 0.0589831626
Epoch = 135, Iter= 159, Average Epoch Loss= 0.0576947634
Epoch = 136, Iter= 159, Average Epoch Loss= 0.0564906760
Epoch = 137, Iter= 159, Average Epoch Loss= 0.0553610417
Epoch = 138, Iter= 159, Average Epoch Loss= 0.0542971233
Epoch = 139, Iter= 159, Average Epoch Loss= 0.0533028185
Epoch = 140, Iter= 159, Average Epoch Loss= 0.0523674707
